finding_id,severity,priority,resolution_path,task_id,agent_owner,reviewer,status,validation_evidence
LINK-010,Low,P3,task,T5-03,codex,claude,blocked-by-wave,"apple-touch-icon present"
LINK-011,Low,P3,folded_into_task,T5-02,codex,claude,blocked-by-wave,"duplicate of ROUTE-009 - same fix, same task"
LINK-012,Info,P4,folded_into_task,T5-08,codex,claude,ready,"6 unused static files removed"
CONN-001,Critical,P0,task,T1-01,paired,claude,ready,"see T1-01 acceptance criteria"
CONN-002,High,P1,task,T1-01,paired,claude,ready,"cron reclaim test, see T1-01"
CONN-003,High,P1,task,T1-05,paired,claude,ready,"see T1-05 acceptance criteria"
CONN-004,Critical,P0,task,T1-06,codex,claude,ready,"see T1-06 acceptance criteria"
CONN-005,Medium,P2,task,T2-03,codex,claude,ready,"referral capture + completion trigger wired"
CONN-006,Medium,P2,task,T2-04,codex,claude,ready,"promo field present and functional"
CONN-007,Medium,P2,task,T2-05,paired,claude,ready,"see T2-05 acceptance criteria"
CONN-008,Medium,P2,task,T1-10,paired,claude,ready,"relabel shipped immediately; automation contingent on Open Decision #3"
CONN-009,Medium,P3,requires_owner_decision,T4-05,paired,claude,blocked-by-decision,"Open Decision #4"
CONN-010,Low-Medium,P3,task,T2-08,codex,claude,ready,"one shared notifyWaitlistOnCancel helper"
CONN-011,High,P1,task,T4-01,paired,claude,blocked-by-decision,"Open Decision #7"
CONN-012,Medium,P2,task,T4-02,paired,claude,blocked-by-wave,"CSRF applied consistently or SameSite documented, Open Decision #8"
SEC-001,Critical,P0,task,T1-08,paired,claude,ready,"beta.32 verified against CVE + regression suite"
SEC-002,High,P0,already_resolved,T1-07,codex,claude,verify-and-commit,"npm audit clean in working tree, see overhaul/01 drift item 1"
SEC-003,High,P1,already_resolved,T1-07,codex,claude,verify-and-commit,"same Next.js bump as SEC-002"
SEC-004,Medium,P1,task,T4-03,codex,claude,blocked-by-wave,"bookingLimiter applied to mobile/book-class"
SEC-005,Medium,P2,task,T4-03,codex,claude,blocked-by-wave,"shared limiter wrapper on all 11 mobile routes"
SEC-006,Medium,P1,task,T1-09,codex,claude,ready,"see T1-09 acceptance criteria"
SEC-007,Medium,P2,task,T4-01,paired,claude,blocked-by-decision,"Open Decision #7"
SEC-010,Mixed,P1/P3,already_resolved,T1-07,codex,claude,verify-and-commit,"npm audit shows 0 critical/high/moderate/low in working tree"
SEC-CSP,Medium,P2,task,T3-08,paired,claude,blocked-by-wave,"nonce-based script-src live"
A11Y-001,Medium,P1,task,T3-09,paired,claude,blocked-by-wave,"lang/dir correct on first server response, both languages"
A11Y-002,Low,P3,folded_into_task,T5-08,codex,claude,ready,"border/divider contrast raised to WCAG 1.4.11 minimum"
A11Y-004,Low,P3,folded_into_task,T5-08,codex,claude,ready,"raw img replaced with next/image in 8 files"
A11Y-005,Medium,P3,folded_into_task,T2-01,paired,claude,blocked-by-wave,"primary fix in landing motion work; remaining framer-motion usage swept in T5-08"
A11Y-006,Info,P3,deferred,none,none,none,deferred,"needs manual spot check across 5 pages before it becomes a task; not yet actionable"
PERF-001,Critical,P0,task,T1-11,paired,claude,ready,"see T1-11 acceptance criteria"
PERF-002,Medium,P2,task,T5-07,codex,claude,blocked-by-wave,"analyze npm script exists"
PERF-003,Medium,P2,task,T5-07,codex,claude,blocked-by-wave,"dictionary lazy-loaded or split"
PERF-004,Low,P2,task,T5-07,codex,claude,blocked-by-wave,"remotePatterns narrowed from wildcard"
SEO-001,High,P1,task,T5-02,codex,claude,blocked-by-wave,"sitemap.ts/robots.ts exist"
SEO-002,Medium,P1,task,T5-02,codex,claude,blocked-by-wave,"generateMetadata on all public pages"
SEO-003,Medium,P2,task,T5-02,codex,claude,blocked-by-wave,"structured data present"
SEO-004,Low,P3,folded_into_task,T5-02,codex,claude,blocked-by-wave,"canonical URLs on filterable listing pages"
SEO-005,Medium,P2,task,T5-02,codex,claude,blocked-by-wave,"noindex on authenticated routes"
SEO-006,Medium,P2,task,T5-02,codex,claude,blocked-by-wave,"hreflang for AR/EN"
TEST-001,Critical,P0,task,T5-01,paired,claude,blocked-by-wave,"4 test suites pass, see T5-01 acceptance criteria"
DEP-001,High,P1,task,T1-08,paired,claude,ready,"reinforced by SEC-001, also tracked in T5-05 routine pass"
DEP-002,Low,P3,task,T5-05,codex,claude,blocked-by-wave,"routine/major updates applied with Claude approval per bump"
CODE-001,Medium,P2,task,T5-08,paired,claude,blocked-by-wave,"BookingCheckout.tsx and other 800+ line files split"
CODE-002,Low,P3,folded_into_task,T5-08,codex,claude,ready,"any usage narrowed in the 2 concentrated files"
CODE-003,Low,P3,folded_into_task,T5-08,codex,claude,ready,"dedicated logger replaces raw console.log in webhook handler"
CODE-006,Medium,P2,task,T5-08,paired,claude,blocked-by-wave,"26 dead files removed after confirmation pass"
DOC-001,Medium,P2,task,T5-06,codex,claude,blocked-by-wave,"README rewritten with real onboarding"
TOOL-001,Medium,P2,task,T0-02,claude,none,done-this-session,"CLAUDE.md exists and imports AGENTS.md"
TOOL-002,Low,P3,task,T0-01,claude,none,ready,"Playwright MCP committed at project scope; T6-02 extends to ongoing regression use"
