id,source_doc,area,severity,priority,title,complexity
LINK-004,07-links-assets-media-audit.md,Admin,Medium,P2,"Delete user icon button has no click handler",S
LINK-005,07-links-assets-media-audit.md,Admin,Medium,P2,"Delete class icon button has no click handler",S
LINK-006,07-links-assets-media-audit.md,Booking,High,P1,"Calendar month-nav dead control; selected date/time silently dropped before booking API",M
LINK-007,07-links-assets-media-audit.md,Admin,Low,P3,"href=backslash-dashboard malformed URL (works by accident)",XS
LINK-008,07-links-assets-media-audit.md,SEO,Medium,P2,"Page titles duplicate | Coursaty suffix on 9+ routes",S
LINK-009,07-links-assets-media-audit.md,SEO/Social,Medium,P2,"No Open Graph/Twitter preview image anywhere despite summary_large_image card type",S
LINK-010,07-links-assets-media-audit.md,PWA,Low,P3,"No apple-touch-icon / app icon",XS
LINK-011,07-links-assets-media-audit.md,SEO,Low,P3,"/global-states internal tool has no robots noindex, publicly indexable",XS
LINK-012,07-links-assets-media-audit.md,Assets,Info,P4,"6 unused static files in public/, reported not deleted",XS
CONN-001,08-functional-connections-audit.md,Booking,Critical,P0,"Live booking flow has TOCTOU overbooking race; safe lockSeat() implementation is dead code",M
CONN-002,08-functional-connections-audit.md,Booking,High,P1,"cron/cleanup-locks is a no-op; abandoned bookings permanently consume capacity",S
CONN-003,08-functional-connections-audit.md,Dashboard,High,P1,"Tutor-access-level enforcement partial; revenue visible to restricted tutors on 4 of 7 surfaces",S-M
CONN-004,08-functional-connections-audit.md,Mobile app,Critical,P0,"Flutter class-browse screen silently serves mock data (API field-name mismatch)",S
CONN-005,08-functional-connections-audit.md,Referral,Medium,P2,"Referral program fully stubbed - signup never captures the referral code",S
CONN-006,08-functional-connections-audit.md,Promo codes,Medium,P2,"Promo codes: correct backend logic but no UI field to enter one; dead parallel preview path exists",S
CONN-007,08-functional-connections-audit.md,Reviews,Medium,P2,"Review creation has two competing implementations; neither reachable from web UI",S-M
CONN-008,08-functional-connections-audit.md,Payments,Medium,P2,"Refund approval never triggers an actual Paymob refund - DB says REFUNDED, money doesn't move",M
CONN-009,08-functional-connections-audit.md,Notifications,Medium,P3,"No real notification system exists; endpoints serve two unrelated non-feed purposes",M (net-new)
CONN-010,08-functional-connections-audit.md,Booking,Low-Medium,P3,"Three divergent booking-cancel code paths; waitlist notification only fires from one",S
CONN-011,08-functional-connections-audit.md,Auth,High,P1,"Email verification pipeline fully built but enforces nothing at login",XS (needs deliverability check)
CONN-012,08-functional-connections-audit.md,Security,Medium,P2,"CSRF same-origin check applied to only 3 of ~85 API routes",S
SEC-001,09-security-accessibility-performance-seo.md,Security,Critical,P0,"2 critical CVEs in next-auth beta / @auth/core, including fail-open auth check",M
SEC-002,09-security-accessibility-performance-seo.md,Security,High,P0,"Next.js Middleware/Proxy-bypass CVEs; app's entire access control runs on this exact mechanism",S-M
SEC-003,09-security-accessibility-performance-seo.md,Security,High,P1,"sharp libvips CVEs (fixed by the same Next.js upgrade as SEC-002)",S
SEC-004,09-security-accessibility-performance-seo.md,Security,Medium,P1,"Mobile book-class endpoint has no rate limit (web equivalent already fixed)",S
SEC-005,09-security-accessibility-performance-seo.md,Security,Medium,P2,"No rate limiting across /api/mobile/* generally",M
SEC-006,09-security-accessibility-performance-seo.md,Security,Medium,P1,"Open redirect via callbackUrl (protocol-relative URL bypass) on /login",S
SEC-007,09-security-accessibility-performance-seo.md,Security,Medium,P2,"Email verification disabled in live auth path (see CONN-011)",XS
SEC-010,09-security-accessibility-performance-seo.md,Security,Mixed,P1/P3,"18 total npm audit findings (2 critical/12 high/3 moderate/1 low)",S
SEC-CSP,09-security-accessibility-performance-seo.md,Security,Medium,P2,"CSP script-src unsafe-inline defeats most XSS mitigation",M
A11Y-001,09-security-accessibility-performance-seo.md,Accessibility,Medium,P1,"html lang hardcoded en server-side, dir never set server-side until client JS runs",M
A11Y-002,09-security-accessibility-performance-seo.md,Accessibility,Low,P3,"Border/divider contrast below WCAG 1.4.11 non-text minimum",S
A11Y-004,09-security-accessibility-performance-seo.md,Accessibility,Low,P3,"8 files use raw img instead of next/image",S
A11Y-005,09-security-accessibility-performance-seo.md,Accessibility,Low,P3,"prefers-reduced-motion covered in only ~39% of framer-motion usage",M
A11Y-006,09-security-accessibility-performance-seo.md,Accessibility,Info,P3,"5 of 34 pages not confirmed to have an h1 (needs follow-up spot check)",S
PERF-001,09-security-accessibility-performance-seo.md,Performance,Critical,P0,"Zero static generation sitewide, root-caused to auth() call in root-layout Navbar",M
PERF-002,09-security-accessibility-performance-seo.md,Performance,Medium,P2,"Bundle analyzer configured but no npm script to run it",XS
PERF-003,09-security-accessibility-performance-seo.md,Performance,Medium,P2,"1114-line bilingual dictionary ships as client bundle on every page",M
PERF-004,09-security-accessibility-performance-seo.md,Performance,Low,P2,"next/image remotePatterns wildcard allows any HTTPS host (cross-ref SEC-003)",S
SEO-001,09-security-accessibility-performance-seo.md,SEO,High,P1,"No sitemap.ts / robots.ts / robots.txt anywhere",S
SEO-002,09-security-accessibility-performance-seo.md,SEO,Medium,P1,"generateMetadata used on only 3 of 34 pages",M
SEO-003,09-security-accessibility-performance-seo.md,SEO,Medium,P2,"No structured data (JSON-LD) anywhere",M
SEO-004,09-security-accessibility-performance-seo.md,SEO,Low,P3,"No canonical URLs on filterable listing pages",S
SEO-005,09-security-accessibility-performance-seo.md,SEO,Medium,P2,"No explicit noindex/robots exclusion for authenticated-only routes",S
SEO-006,09-security-accessibility-performance-seo.md,SEO,Medium,P2,"No locale routing/hreflang; Arabic content invisible to locale-aware search",M
TEST-001,10-codebase-and-dependency-audit.md,Testing,Critical,P0,"Zero automated test coverage across 84 API routes and 31 pages",XL (M tranche 1)
DEP-001,10-codebase-and-dependency-audit.md,Dependencies,High,P1,"NextAuth v5 beta in production (reinforced with concrete CVEs by SEC-001)",S-M
CODE-001,10-codebase-and-dependency-audit.md,Code quality,Medium,P2,"Files exceeding 800-line guideline (BookingCheckout.tsx 1437 lines, others)",M
CODE-006,10-codebase-and-dependency-audit.md,Code quality,Medium,P2,"26 unused files/dead code including lockSeat() (see CONN-001)",S-M
DOC-001,10-codebase-and-dependency-audit.md,Documentation,Medium,P2,"README is unmodified create-next-app boilerplate with no project onboarding",S
CODE-002,10-codebase-and-dependency-audit.md,Code quality,Low,P3,"any typing usage - narrow and concentrated in 2 files",S-M
CODE-003,10-codebase-and-dependency-audit.md,Code quality,Low,P3,"No dedicated logger; raw console.log in webhook handler",S
DEP-002,10-codebase-and-dependency-audit.md,Dependencies,Low,P3,"Routine and major dependency updates outstanding (non-urgent)",S-L
TOOL-001,11-claude-codex-tooling-opportunities.md,Tooling,Medium,P2,"No CLAUDE.md exists (only AGENTS.md) - Claude Code has never read project instructions",XS
TOOL-002,11-claude-codex-tooling-opportunities.md,Tooling,Low,P3,"No persistent browser-automation MCP configured for this project",S
