feature,ui_component,api_route,db_models,auth_enforced,validation,error_handling,status,notes
Tutor search & filters,app/search or app/tutors pages,GET /api/search /api/search/suggestions /api/tutors,User Class LearningCenter SearchLog,public,inline,n/a (read-only),fully wired,SearchLog write is fire-and-forget .catch(()=>null)
Class browse & detail,app/classes pages,GET /api/classes /api/classes/search /api/classes/trending /api/classes/[id]/similar,Class Booking Review,public,inline (Prisma.ClassWhereInput builder),n/a (read-only),fully wired,Parameterized queries; cached 30-300s
Booking creation (web,live path),app/classes/[id]/book/BookingCheckout.tsx,POST /api/bookings,Booking Class PromoCode,session or Bearer,inline (not Zod),"try/catch, 502 on Paymob failure shown inline",partially wired (race condition),"CRITICAL: capacity check (_count.bookings >= capacity) runs outside any transaction — TOCTOU overbooking race. Never sets lockedAt/lockedUntil, so cron/cleanup-locks never reclaims abandoned PENDING bookings. Calendar/time/student-name fields in UI are hardcoded mock data never sent to backend."
Booking creation (server action,unused),app/actions/bookings.ts lockSeat(),n/a — dead code,Booking Class,session,inline,typed result union,API-only-no-UI,"Correctly implemented with Serializable transaction + real seat lock (lockedAt/lockedUntil) but has ZERO callers anywhere in the app — dead code that the live path should be using instead"
Paymob payment init,BookingCheckout.tsx (redirect),lib/paymob.ts createPaymobPayment() called from POST /api/bookings,Booking,n/a,n/a,booking marked FAILED + 502 on error,fully wired,Full-page redirect to Paymob iframe URL
Paymob webhook,n/a (server-to-server),POST /api/webhooks/paymob,Booking WebhookEvent AuditLog,HMAC-SHA512 signature + integration_id + currency + amount checks,strict field validation,always returns 200 to avoid Paymob retry storms; errors only console.error'd,fully wired,Double idempotency guard (WebhookEvent unique + paymentStatus check); amount-mismatch protection
Booking confirmation page,app/booking-confirmed/BookingConfirmedClient.tsx,server-rendered read of Booking,Booking,session,n/a,n/a,partially wired,No polling — if webhook hasn't landed yet when user is redirected back, page shows stale pending state with no auto-refresh
Booking cancel (student),app/bookings or dashboard UI,POST /api/bookings/[id]/cancel,Booking Waitlist,session (studentId or ADMIN),n/a,n/a,fully wired,Only this cancel path notifies the first waitlisted user by email
Booking cancel (dashboard action),app/dashboard/dashboard-actions.ts cancelBooking(),server action (updateMany),Booking,session,n/a,redirect on completion,partially wired,Does NOT trigger waitlist notification — inconsistent with the API route cancel path
Booking cancel (tutor/admin),app/actions/bookings.ts updateBookingStatus(),server action,Booking,session + role/ownership check,n/a,typed result union,partially wired,Also skips waitlist notification
Refund request,app/bookings UI,POST /api/bookings/[id]/refund-request,Booking,session (studentId match),inline (paid status + reason length),n/a,fully wired,No dedicated RefundRequest model — refundReason field + AuditLog stand in for one
Refund approve/deny (admin),app/admin/AdminClient.tsx,POST /api/admin/refund-requests/[id]/approve|deny,Booking AuditLog,session + ADMIN,n/a,"no response.ok check before removing row from list — silent failure",partially wired,"Approve only flips paymentStatus to REFUNDED in DB — no real Paymob refund API call exists anywhere in lib/paymob.ts, so money is not actually returned to the student"
Waitlist join,app/classes/[id]/ClassDetailClient.tsx,POST /api/classes/[id]/waitlist,Waitlist Class,session + STUDENT role,inline (class must be full,no double-enroll),fire-and-forget email .catch(()=>null),fully wired,"Join-state UI relies on localStorage, not a server check, so it can show stale state"
Waitlist leave,ClassDetailClient.tsx,DELETE /api/classes/[id]/waitlist,Waitlist,session (own entry),n/a,n/a,fully wired,Wrapped in $transaction that renumbers remaining positions
Waitlist auto-promotion,n/a,n/a (does not exist),Waitlist Booking,n/a,n/a,n/a,UI-only mock (notify-only),Cancelling a booking only emails the first waitlisted student a link back to the class — no auto-booking or seat reservation occurs
Reviews create (web),app/components/ReviewSection.tsx (dead) / ClassDetailClient.tsx Write-review button (no onClick),POST /api/reviews or POST /api/classes/[id]/reviews,Review Booking,ReviewSection: session; classes/[id]/reviews: requireMobileUser (mismatched for web),Zod-like inline (rating 1-5,confirmed booking required),n/a,UI-only mock,"Two competing review-creation stacks; neither is reachable from a working web UI path. ReviewSection.tsx is never imported. The rendered Write-review button has no click handler."
Review moderation (admin),app/admin/AdminClient.tsx,GET /api/admin/reviews/pending PATCH .../[id]/approve DELETE .../[id],Review,session + ADMIN,n/a,no response.ok check before optimistic list removal,partially wired,Approve/reject updates list without full reload but silently desyncs on failed requests
Review response (tutor),app/dashboard/components/DashboardReviews.tsx + components/ui/TutorReviewResponse.tsx,POST/DELETE /api/reviews/[id]/response,Review,session + owner/tutor,inline (non-empty,<=500 chars),DashboardReviews silently swallows non-OK responses; TutorReviewResponse shows inline error,fully wired,Two UI entry points with inconsistent error handling
Favorites add/remove,app/hooks/useFavorites.ts used by ClassCard.tsx TutorCard.tsx,GET/POST/DELETE /api/favorites,Favorite,session (graceful anon),inline (type+id),optimistic toggle with rollback + toast on failure,fully wired,Well-implemented optimistic UI pattern
Messaging - new thread,TutorProfileClient.tsx / BookingCheckout.tsx,POST /api/messages/new,MessageThread,session + STUDENT role,inline (tutorId exists),n/a,fully wired,
Messaging - send,app/hooks/useMessages.ts + ThreadClient.tsx,POST /api/messages,Message,session + thread participant,content sliced to 2000 chars,"input cleared before await resolves, no catch/try around send() — message can be silently lost on failure",partially wired,Not optimistic; unhandled promise rejection possible on send failure
Messaging - read receipts,GET /api/messages/[threadId]; useMessages.ts,GET .../[threadId]; PATCH .../[threadId]/read,Message,session + thread participant,n/a,fire-and-forget .catch(()=>undefined),fully wired,Redundant double-marking (both GET side-effect and explicit PATCH fire)
Messaging - unread badge,components/NavbarClient.tsx MobileBottomNav.tsx,GET /api/messages/unread-count,Message,session,n/a,n/a,partially wired,Fetches once on mount only — no polling — badge goes stale; thread list itself polls every 5s
Referral program,app/referral/ReferralClient.tsx,GET /api/me/referral; POST /api/me/referral/complete,Referral User,session,n/a,n/a,API-only-no-UI (attribution broken),"Backend reward logic is real (+100 EGP wallet credit) but /complete is never called from anywhere, and app/signup/page.tsx never reads the ?ref= query param, so Referral rows are never created from a real signup — the whole chain is disconnected at step one"
Promo code validation (standalone),components/ui/PromoCodeInput.tsx (unused),POST /api/promo/validate,PromoCode,session,inline (active/expired/max-uses),n/a,API-only-no-UI,Component is never imported anywhere; this preview-only endpoint applies nothing
Promo code applied at checkout,none — no promo field in BookingCheckout.tsx,POST /api/bookings (promoCode field),PromoCode Booking,session or Bearer,inline (active/expired/max-uses),n/a,API-only-no-UI,"Discount IS correctly carried through to the Paymob payment amount server-side, but the live checkout UI has no promo code input field for users to reach this logic"
Notifications (preferences),app/settings/SettingsClient.tsx,GET/PATCH /api/me/notifications,User (boolean columns),session,inline boolean checks per key,n/a,fully wired,This is a preferences toggle endpoint, not an in-app notification feed — no Notification model exists in the schema
Notifications (mobile feed),Flutter NotificationsScreen (hardcoded static text — NOT wired),GET /api/mobile/notifications,AuditLog Booking (synthesized,no persistence),Bearer JWT,n/a,n/a,API-only-no-UI,"Backend synthesizes a feed from AuditLog+Booking on every request with read:false hardcoded (never persisted/markable); Flutter screen renders 3 static hardcoded strings and never calls this endpoint"
Push notifications,Flutter NotificationsScreen registers on init,POST /api/mobile/push-token,PushToken,Bearer JWT,inline (token length,platform allowlist),n/a,partially wired (storage only),Tokens are correctly stored but never used — no FCM/APNs/OneSignal integration exists anywhere in the codebase to actually send a push
Center creation,none — no UI or endpoint exists,none,LearningCenter,n/a,n/a,n/a,API-only-no-UI (does not exist),Centers are provisioned out-of-band via Supabase MCP per project workflow; no in-app creation flow
Center admin dashboard tabs,app/centers/[id]/admin/CenterAdminClient.tsx (7 tabs),GET/PATCH /api/centers/[id]/* (classes/bookings/revenue/stats/students/tutors),LearningCenter Class Booking User,session + CENTER_ADMIN-of-center or ADMIN (guardCenter helper duplicated 7x),inline per route,n/a,fully wired,Page-level role gate means centerAccessLevel is correctly irrelevant here (TUTOR role cannot reach this page)
Tutor dashboard - classes tab,app/dashboard/components/DashboardClasses.tsx,POST /api/classes; DELETE via dashboard-actions.ts deleteClass,Class,session + role,Zod ClassCreateSchema,n/a,partially wired,"UI hides create button only for VIEW_ONLY, but POST /api/classes 403s any non-FULL tutor (including LIMITED) — UI/server mismatch causes LIMITED tutors to hit an unexpected 403"
Tutor dashboard - revenue/payouts/reviews tabs,app/dashboard/DashboardClient.tsx,GET /api/dashboard/payouts /api/dashboard/analytics,Booking Payout,session + role only (no centerAccessLevel check server-side),n/a,n/a,partially wired,"UI hides these panels for LIMITED/VIEW_ONLY, but /api/dashboard/payouts and /api/dashboard/analytics have no server-side access-level check — a restricted tutor can fetch them directly"
Tutor dashboard - stats header (gross revenue),app/dashboard/components/DashboardStats.tsx,server-rendered from app/dashboard/page.tsx,Booking Class,session (no access-level gate),n/a,n/a,partially wired (gap),"CRITICAL enforcement gap: gross revenue stat card renders unconditionally regardless of centerAccessLevel — a LIMITED/VIEW_ONLY tutor still sees real lifetime revenue at the top of their dashboard, directly contradicting the intent of commit 786df84"
Tutor dashboard - data payload,app/dashboard/page.tsx,server component data fetch,Booking (student PII,amounts),session (no access-level filtering of fetched data),n/a,n/a,partially wired (gap),"Full revenue/PII dataset for every owned class's bookings is fetched and serialized into RSC props for ALL tutors regardless of access level — render-gating hides it in the UI but the data still reaches the browser via the Flight payload"
Dashboard export (CSV),app/dashboard/DashboardClient.tsx,GET /api/dashboard/export,Booking Class,session + FULL access level required,n/a,n/a,fully wired,The one dashboard route with correct server-side centerAccessLevel enforcement (403 for non-FULL)
Attendance tracking,tutor-facing UI (consumer not fully confirmed in this pass),GET/POST /api/classes/[id]/attendance; GET /api/dashboard/attendance,AttendanceRecord Booking,session + owner/tutor of class (or role-scoped for dashboard variant),inline (booking must belong to class+student),n/a,fully wired,Upserted on unique bookingId+sessionDate
Payouts (admin ledger),app/admin/components/PayoutsTab.tsx,PATCH /api/admin/payouts,Payout AuditLog,session + ADMIN,inline,n/a,fully wired (manual ledger only),No Paymob/Stripe transfer call exists — admin manually flips status after moving money out-of-band
Admin refund/review moderation UI,app/admin/AdminClient.tsx,see refund/review rows above,Review Booking,session + ADMIN,n/a,n/a,fully wired,Confirmed real UI exists (not dead endpoints)
Admin platform config,app/admin/components/PlatformConfigTab.tsx,GET/PATCH /api/admin/config,PlatformConfig,session + ADMIN,inline,n/a,fully wired,
Admin verify-user,app/admin/AdminClient.tsx (Users tab),POST /api/admin/verify-user,User AuditLog,session + ADMIN,inline + same-origin check,n/a,fully wired,
Mobile book-class,none found,POST /api/mobile/book-class,Booking Class,Bearer JWT + STUDENT role,inline,n/a,API-only-no-UI (dead endpoint),"No Flutter caller found; app actually calls POST /api/bookings (web route) instead. Also lacks Paymob integration and rate limiting that the web route has."
Mobile bookings list,none found,GET /api/mobile/bookings,Booking Class User,Bearer JWT (role-scoped),n/a,n/a,API-only-no-UI (dead endpoint),Flutter calls /api/bookings instead; shadow duplicate never exercised
Mobile classes browse,MarketplaceRepository.classes() (calls wrong route+key),GET /api/classes/search (intended) but Flutter reads data['classes'] while API returns 'items',Class,public,inline,silently falls through to catch-all mock data,UI-only mock (silent),"CRITICAL: key mismatch (items vs classes) means the Flutter class browse/search screen ALWAYS falls back to MockData.filteredClasses() in production, silently, regardless of backend health — no exception thrown since the HTTP call succeeds"
Mobile class detail,MarketplaceRepository.classById(),GET /api/mobile/classes/[id],Class User LearningCenter,public,n/a,n/a,fully wired,Field shapes match AppClass.fromJson correctly
Mobile favorites,SavedScreen (SharedPreferences-only, no API calls),GET/POST/DELETE /api/mobile/favorites,Favorite,Bearer JWT (correctly scoped),inline,n/a,API-only-no-UI (dead endpoint),"Fully built, correctly-scoped backend exists but the Flutter app implements favorites as local-only SharedPreferences storage — zero server sync, no cross-device parity with web"
Mobile me/profile,AuthService.refreshMe(),GET /api/mobile/me,User,Bearer JWT,n/a,n/a,fully wired,Response includes walletBalanceEgp/referralCode/bio but AuthUser.fromJson discards them — no wallet/referral UI on mobile
Mobile tutors browse/detail,MarketplaceRepository.tutors()/tutor(),GET /api/mobile/tutors[/id],User Class,public,inline,n/a,fully wired,Field mapping correct
Mobile search,none found,GET /api/mobile/search,Class User LearningCenter SearchLog,public,inline,n/a,API-only-no-UI (dead endpoint),No Flutter screen targets this route; app's browse relies on the (broken) classes() call instead
Mobile push token registration,NotificationsScreen.initState(),POST /api/mobile/push-token,PushToken,Bearer JWT,inline,n/a,fully wired (storage only),Same push-never-sent gap as web-adjacent finding above
Mobile auth (token issue),Flutter AuthService login,POST /api/auth/mobile-token,User,public (rate-limited),bcrypt compare,n/a,fully wired,"30-day JWT, no refresh mechanism anywhere — expiry forces full re-login"
Cron seat-lock cleanup,n/a (Vercel Cron),GET /api/cron/cleanup-locks,Booking AuditLog,CRON_SECRET bearer match,n/a,n/a,partially wired (effectively no-op),"Correctly implemented, but only targets bookings with non-null lockedUntil — the live booking-creation path (POST /api/bookings) never sets that field, so in production this cron cleans up nothing; abandoned PENDING/UNPAID bookings permanently occupy capacity"
CSRF same-origin check,n/a,POST /api/classes /api/reviews /api/admin/verify-user only,n/a,n/a,n/a,n/a,partially wired,"isSameOrigin() is duplicated inline in only 3 of ~85 route files; ~40+ other mutation routes (bookings, favorites, messages, waitlist, refund-request, promo, centers/*, dashboard/*) have no equivalent check"
